number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 1036|2009-05-08|Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.|ul. Naruszewicza 18; 35-055 Rzeszów|Laboratorium Centralne|ul. Ciepłownicza 2; 35-959 Rzeszów|17 850-98-04||tls@mpwik.rzeszow.pl|www.mpwik.rzeszow.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1037|2009-04-24|Laboratorium Ochrony Środowiska Pracy Sp. z o.o.|ul. Starzyńskiego 1; 08-110 Siedlce|Laboratorium Ochrony Środowiska Pracy Sp. z o.o.|ul. Starzyńskiego 1; 08-110 Siedlce|25 644-84-50||poczta@laboratoriumsiedlce.com|www.laboratoriumsiedlce.com|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1038|2009-06-29|ISD Huta Częstochowa Sp. z o.o.|ul. Kucelińska 22; 42-207 Częstochowa|Laboratoria|ul. Kucelińska 22; 42-207 Częstochowa|34 323-86-08||mmalasiewicz@isd-hcz.com.pl|huta.isd-poland.com|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Wyroby inne
AB 1039|2009-05-07|SECURA Zakład Ochrony Środowiska mgr Jerzy Frańczak|ul. Urocza 11; 66-400 Gorzów Wielkopolski|SECURA Zakład Ochrony Środowiska mgr Jerzy Frańczak|ul. Urocza 11; 66-400 Gorzów Wielkopolski|95 725-81-18||jerzyfranczak@wp.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1040|2009-05-11|OPEC-INEKO Sp. z o.o.|ul. Budowlanych 7; 86-300 Grudziądz|Laboratorium|ul. Budowlanych 7; 86-300 Grudziądz|56 450-62-48||labor@ineko.opec.grudziadz.pl|www.ineko.opec.grudziadz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 1041|2009-05-06|Zakład Wodociągów i Kanalizacji Sp. z o.o.|ul. Niepodległości 56; 57-400 Nowa Ruda|Laboratorium Badania Wody i Ścieków w Ścinawce Dolnej|; 57-410 Ścinawka Dolna|74 871-50-30||||Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1042|2009-04-30|Wojskowy Ośrodek Medycyny Prewencyjnej we Wrocławiu|ul. Ślężna 158; 50-984 Wrocław|Zespół Laboratoryjny|ul. Ślężna 158; 50-984 Wrocław|26 166-05-00||womp_wroc@interia.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1043|2009-05-07|Usługi dot. Ochrony Powietrza Andrzej Jamiołkowski|ul. Słupy 35; 10-381 Olsztyn|Usługi dot. Ochrony Powietrza Andrzej Jamiołkowski|Słupy 35; 10-381 Olsztyn|89 513-53-03| 602-822-969|jandrzej@box43.pl|www.jamiolkowski.olsztyn.pl|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1044|2009-05-20|EKO-KOMPLEKS J.Fidrysiak,J.Budzińska S.J.|ul. Guzewska 14; 95-030 Rzgów|Laboratorium|ul. Guzewska 14; 95-030 Rzgów|42 227-88-78||laboratorium@ekokompleks.com.pl|www.ekokompleks.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1045|2009-06-01|Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji w Zduńskiej Woli Sp. z o.o.|ul. Królewska 15; 98-220 Zduńska Wola|Laboratorium|ul. Tymienicka 23; 98-220 Zduńska Wola|43 823-65-85||lab@mpwikzdw.com.pl|www.mpwikzdw.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1046|2009-06-01|EKKOM Spółka z ograniczoną odpowiedzialnością|ul. dr Józefa Babińskiego 71B; 30-394 Kraków|Laboratorium Badawcze|ul. dr Józefa Babińskiego 71B; 30-394 Kraków|12 267-23-33||biuro@ek-kom.pl|www.ek-kom.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1047|2009-06-08|Przedsiębiorstwo Komunalne w Tucholi Sp. z o.o.|ul. Świecka 68; 89-500 Tuchola|Laboratorium Analityczne|ul. Świecka 96 A; 89-500 Tuchola|52 334-31-84||laboratorium@pk.tuchola.pl|www.pk.tuchola.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1049|2009-06-26|ENERGA Elektrownie Ostrołęka S.A.|ul. Elektryczna 5; 07-401 Ostrołęka|Laboratorium Badań Chemicznych|ul. Elektryczna 5; 07-401 Ostrołęka|29 766-22-05||wojciech.richter@energa.pl|www.energaostroleka.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 1050|2009-06-15|Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Geologii, Geofizyki i Ochrony Środowiska, Katedra Hydrogeologii i Geologii Inżynierskiej|Al. Mickiewicza 30; 30-059 Kraków|Laboratorium Hydrogeochemiczne|Al. Mickiewicza 30; 30-059 Kraków|12 617-24-28||lab_khgi@agh.edu.pl|www.khgi.agh.edu.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1051|2009-06-17|Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.|ul. Obwodowa 6; 11-500 Giżycko|Laboratorium Środowiskowe|ul. Bystry 25; 11-500 Giżycko|87 429-33-77||laboratorium@pwikgizycko.home.pl|www.pwik.gizycko.info.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1052|2009-05-25|Centrum Usług Ochrony Pracy i Środowiska mgr Anna Górkiewicz|ul. Dobra 21; 20-350 Lublin|Laboratorium Badań Środowiska Pracy|ul. Dobra 21; 20-350 Lublin|81 744-24-39||biuro@cuopis.pl|www.cuopis.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1053|2009-06-01|PRO-LAB Usługi Chemiczno-Środowiskowe H.Jagielska, P.Drop S.C.|ul. Metalowców 7; 88-100 Inowrocław|Laboratorium Badawcze|ul. Metalowców 7; 88-100 Inowrocław|52 355-05-29| 508-209-940|prolabsc@prolabsc.pl|www.prolabsc.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1054|2009-06-17|MOBILNE Laboratorium Techniki Budowlanej Sp. z o.o.|ul. J. Kasprowicza 21 lok. 2; 58-300 Wałbrzych|MOBILNE Laboratorium Techniki Budowlanej Sp. z o.o.|ul. J. Kasprowicza 21 lok. 2; 58-300 Wałbrzych|74 840-14-63| 696-050-073|biuro@badaniaokien.pl|www.badaniaokien.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1055|2009-07-15|PGE Górnictwo i Energetyka Konwencjonalna S.A. - Oddział Kopalnia Węgla Brunatnego Turów|ul. Górników Turowa 1; 59-916 Bogatynia|Dział Laboratoriów|ul. Górników Turowa 1; 59-916 Bogatynia|75 773-51-26||waldemar.kwiatkowski@gkpge.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 1056|2009-06-26|PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddział Elektrociepłownia Kielce|ul. Hubalczyków 30; 25-668 Kielce|Laboratorium Chemiczne|ul. Hubalczyków 30; 25-668 Kielce|41 368-40-41||||Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 1057|2009-07-08|Fundacja Agencja Regionalnego Monitoringu Atmosfery Aglomeracji Gdańskiej|ul. Brzozowa 15A; 80-243 Gdańsk|Fundacja Agencja Regionalnego Monitoringu Atmosfery Aglomeracji Gdańskiej|ul. Brzozowa 15A; 80-243 Gdańsk|58 301-48-84||info@armaag.gda.pl|www.armaag.gda.pl|Badania chemiczne, analityka chemiczna (C) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1058|2009-06-22|Przedsiębiorstwo Badawczo-Wdrożeniowe Ochrony Środowiska EKOPOLIN Sp. z o.o.|ul. J.E. Purkyniego 1; 50-155 Wrocław|Laboratorium|ul. J.E. Purkyniego 1; 50-155 Wrocław|71 342-82-05||ekopolin@ekopolin.pl|www.ekopolin.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1059|2009-06-22|HYDROGEOTECHNIKA SP. Z O.O.|ul. Ściegiennego 262A; 25-116 Kielce|Dział Analiz Środowiskowych|ul. Ściegiennego 262A; 25-116 Kielce|41 348-06-60||info@hydrogeotechnika.pl|www.hydrogeotechnika.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 1060|2009-07-13|Komunalne Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.|ul. Ks. Józefa Schulza 5; 85-315 Bydgoszcz|Laboratorium Działu Ochrony Środowiska|ul. Ks. Józefa Schulza 5; 85-315 Bydgoszcz|52 304-52-68||ro@kpec.bydgoszcz.pl|www.kpec.bydgoszcz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 1061|2009-07-02|ICN Polfa Rzeszów S.A.|ul. Przemysłowa 2; 35-959 Rzeszów|Dział Ochrony Środowiska|ul. Przemysłowa 2; 35-959 Rzeszów|17 865-52-95||elzbieta.smyczynska@valeant.com|www.valeant.com|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1062|2009-06-17|Firma Usługowo-Handlowo-Produkcyjna BEST s.c. Teresa Orłowska Stanisław Wiśniewski|ul. Skłodowskiej-Curie 41; 87-100 Toruń|Laboratorium Ochrony Środowiska|ul. Skłodowskiej-Curie 41; 87-100 Toruń|56 659-12-29||best_torun@poczta.onet.pl|www.bestsc.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1063|2009-07-08|Przedsiębiorstwo Usług Komunalnych Sp. z o.o.|ul. Szczecińska 5; 74-100 Gryfino|Laboratorium|ul. Łączna 1; 74-100 Gryfino|91 402-39-82| 661-919-800|laboratorium@puk.gryfino.pl|www.puk.gryfino.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1064|2009-07-13|"""Wodociągi i Kanalizacja - Zgierz"" Sp. z o.o."|ul. Andrzeja Struga 45; 95-100 Zgierz|Laboratorium|ul. Łukasińskiego 26; 95-100 Zgierz|42 715-12-95||laboratorium@wodkan.zgierz.pl|www.wodkan.zgierz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1065|2009-07-15|Powiatowa Stacja Sanitarno-Epidemiologiczna w Krotoszynie|ul. Floriańska 10; 63-700 Krotoszyn|Laboratorium Badania Środowiska Pracy|ul. Floriańska 10; 63-700 Krotoszyn|62 725-32-34||laboratorium.higieny.pracy@psse-krotoszyn.pl|www.psse-krotoszyn.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1066|2009-07-09|"Pracownia Specjalistyczna Ochrony Środowiska ""SILECO"" S.C. Kazimierz Bek, Przemysław Bek, Patrycja Tylutko"|ul. M. Curie-Skłodowskiej 34; 41-819 Zabrze|"Pracownia Specjalistyczna Ochrony Środowiska ""SILECO"" S.C. Kazimierz Bek, Przemysław Bek, Patrycja Tylutko"|ul. M. Curie-Skłodowskiej 34; 41-819 Zabrze|32 279-41-43||biuro@sileco.com.pl|www.sileco.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 1067|2009-07-23|Przedsiębiorstwo Usług i Inżynierii Komunalnej Sp. z o.o.|ul. Partyzantów 6b; 21-400 Łuków|Laboratorium|ul. B.Prusa 14; 21-400 Łuków|25 798-23-71||lab@puik.lukow.pl|www.puik.lukow.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1068|2009-08-04|"Morska Stocznia Remontowa ""GRYFIA"" S.A."|ul. Ludowa 13; 71-700 Szczecin|Zespół Laboratoriów, Laboratorium Higieny Pracy i Ochrony Środowiska|ul. Ludzi Morza 16; 72-602 Świnoujście|91 321-62-41||laboratorium@msrgryfia.pl|www.msrgryfia.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1069|2009-08-07|Arcelormittal Poland S.A. Oddział w Zdzieszowicach|ul. Powstańców Śląskich 1; 47-330 Zdzieszowice|Laboratorium Pomiarów Środowiskowych|ul. Powstańców Śląskich 1; 47-330 Zdzieszowice|77 445-12-23||||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1070|2009-07-14|"Instytut Organizacji i Ochrony Pracy ""CON-LEX"" Sp. z o.o."|ul. Mokra 2; 26-600 Radom|Centralne Laboratorium Badawcze CON-LEX|ul. Mokra 2; 26-600 Radom|48 385-11-15||laboratorium@conlex.pl|www.conlex.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1071|2009-07-28|Pratt & Whitney Rzeszów S.A.|ul. Hetmańska 120; 35-078 Rzeszów|Laboratorium Higieny Pracy i Ochrony Środowiska|ul. Hetmańska 120; 35-078 Rzeszów|17 854-69-65|||www.pwrze.com|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1072|2009-07-28|Zakłady Farmaceutyczne POLPHARMA S.A.|ul. Pelpińska 19; 83-200 Starogard Gdański|Zespół Monitoringu Środowiska|ul. Pelpińska 19; 83-200 Starogard Gdański|58 563-22-83||anna.gerigk@polpharma.com|www.polpharma.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1075|2009-07-24|Laboratorium Ochrony Środowiska Pracy Maciej Jankowski|ul. Zygmunta Augusta 11; 85-082 Bydgoszcz|Laboratorium Ochrony Środowiska Pracy Maciej Jankowski|ul. Zygmunta Augusta 11; 85-082 Bydgoszcz|52 518-15-05| 605-038-804|laboratoriummaciej@wp.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
